CodigoMunicipio,NombreMunicipio
070000080023,Galeana
070000080024,Santa Isabel
070000080025,Gómez Farías
070000080026,Gran Morelos
070000080027,Guachochi
070000080028,Guadalupe
070000080029,Guadalupe y Calvo
070000080030,Guazapares
070000080031,Guerrero
070000080032,Hidalgo del Parral
070000080033,Huejotitán
070000080034,Ignacio Zaragoza
070000080035,Janos
070000080036,Jiménez
070000080037,Juárez
070000080038,Julimes
070000080039,López
070000080040,Madera
070000080041,Maguarichi
070000080042,Manuel Benavides
070000080043,Matachí
070000080044,Matamoros
070000080045,Meoqui
070000080046,Morelos
070000080047,Moris
070000080048,Namiquipa
070000080049,Nonoava
070000080050,Nuevo Casas Grandes
070000080051,Ocampo
070000080052,Ojinaga
070000080053,Praxedis G. Guerrero
070000080054,Riva Palacio
070000080055,Rosales
070000080056,Rosario
070000080057,San Francisco de Borja
070000080058,San Francisco de Conchos
070000080059,San Francisco del Oro
070000080060,Santa Bárbara
070000080061,Satevó
070000080062,Saucillo
070000080063,Temósachic
070000080064,El Tule
070000080065,Urique
070000080066,Uruachi
070000080067,Valle de Zaragoza
070000080996,No especificado
070000080997,Otros estados
070000080998,Otros municipios
070000080999,Resto de municipios
07000009,Ciudad de México
070000090002,Azcapotzalco
070000090003,Coyoacán
070000090004,Cuajimalpa de Morelos
070000090005,Gustavo A. Madero
070000090006,Iztacalco
070000090007,Iztapalapa
070000090008,La Magdalena Contreras
070000090009,Milpa Alta
070000090010,Álvaro Obregón
070000090011,Tláhuac
070000090012,Tlalpan
070000090013,Xochimilco
070000090014,Benito Juárez
070000090015,Cuauhtémoc
070000090016,Miguel Hidalgo
070000090017,Venustiano Carranza
070000090996,No especificado
070000090997,Otros estados
07000010,Durango
070000100001,Canatlán
070000100002,Canelas
070000100003,Coneto de Comonfort
070000100004,Cuencamé
070000100005,Durango
070000100006,General Simón Bolívar
070000100007,Gómez Palacio
070000100008,Guadalupe Victoria
070000100009,Guanaceví
070000100010,Hidalgo
070000100011,Indé
070000100012,Lerdo
070000100013,Mapimí
070000100014,Mezquital
070000100015,Nazas
070000100016,Nombre de Dios
070000100017,Ocampo
070000100018,El Oro
070000100019,Otáez
070000100020,Pánuco de Coronado
070000100021,Peñón Blanco
070000100022,Poanas
070000100023,Pueblo Nuevo
070000100024,Rodeo
070000100025,San Bernardo
070000100026,San Dimas
070000100027,San Juan de Guadalupe
070000100028,San Juan del Río
070000100029,San Luis del Cordero
070000100030,San Pedro del Gallo
070000100031,Santa Clara
070000100032,Santiago Papasquiaro
070000100033,Súchil
070000100034,Tamazula
070000100035,Tepehuanes
070000100036,Tlahualilo
070000100037,Topia
070000100038,Vicente Guerrero
070000100039,Nuevo Ideal
070000100996,No especificado
070000100997,Otros estados
07000011,Guanajuato
070000110001,Abasolo
070000110002,Acámbaro
070000110003,San Miguel de Allende
070000110004,Apaseo el Alto
070000110005,Apaseo el Grande
070000110006,Atarjea
070000110007,Celaya
070000110008,Manuel Doblado
070000110009,Comonfort
070000110010,Coroneo
070000110011,Cortazar
070000110012,Cuerámaro
070000110013,Doctor Mora
070000110014,Dolores Hidalgo Cuna de la Independencia Nacional
070000110015,Guanajuato
070000110016,Huanímaro
070000110017,Irapuato
070000110018,Jaral del Progreso
070000110019,Jerécuaro
070000110020,León
070000110021,Moroleón
070000110022,Ocampo
070000110023,Pénjamo
070000110024,Pueblo Nuevo
070000110025,Purísima del Rincón
070000110026,Romita
070000110027,Salamanca
070000110028,Salvatierra
070000110029,San Diego de la Unión
070000110030,San Felipe
070000110031,San Francisco del Rincón
070000110032,San José Iturbide
070000110033,San Luis de la Paz
070000110034,Santa Catarina
070000110035,Santa Cruz de Juventino Rosas
070000110036,Santiago Maravatío
070000110037,Silao de la Victoria
070000110038,Tarandacuao
070000110039,Tarimoro
070000110040,Tierra Blanca
070000110041,Uriangato
070000110042,Valle de Santiago
070000110043,Victoria
070000110044,Villagrán
070000110045,Xichú
070000110046,Yuriria
070000110996,No especificado
070000110997,Otros estados
070000110998,Otros municipios
070000110999,Resto de municipios
07000012,Guerrero
070000120001,Acapulco de Juárez
070000120002,Ahuacuotzingo
070000120003,Ajuchitlán del Progreso
070000120004,Alcozauca de Guerrero
070000120005,Alpoyeca
070000120006,Apaxtla
070000120007,Arcelia
070000120008,Atenango del Río
070000120009,Atlamajalcingo del Monte
070000120010,Atlixtac
070000120011,Atoyac de Álvarez
070000120012,Ayutla de los Libres
070000120013,Azoyú
070000120014,Benito Juárez
070000120015,Buenavista de Cuéllar
070000120016,Coahuayutla de José María Izazaga
070000120017,Cocula
070000120018,Copala
070000120019,Copalillo
070000120020,Copanatoyac
070000120021,Coyuca de Benítez
070000120022,Coyuca de Catalán
070000120023,Cuajinicuilapa
070000120024,Cualác
070000120025,Cuautepec
070000120026,Cuetzala del Progreso
070000120027,Cutzamala de Pinzón
070000120028,Chilapa de Álvarez
070000120029,Chilpancingo de los Bravo
070000120030,Florencio Villarreal
070000120031,General Canuto A. Neri
070000120032,General Heliodoro Castillo
070000120033,Huamuxtitlán
070000120034,Huitzuco de los Figueroa
070000120035,Iguala de la Independencia
070000120036,Igualapa
070000120037,Ixcateopan de Cuauhtémoc
070000120038,Zihuatanejo de Azueta
070000120039,Juan R. Escudero
070000120040,Leonardo Bravo
070000120041,Malinaltepec
070000120042,Mártir de Cuilapan
070000120043,Metlatónoc
070000120044,Mochitlán
070000120045,Olinalá
070000120046,Ometepec
070000120047,Pedro Ascencio Alquisiras
070000120048,Petatlán
070000120049,Pilcaya
070000120050,Pungarabato
070000120051,Quechultenango
070000120052,San Luis Acatlán
070000120053,San Marcos
070000120054,San Miguel Totolapan
070000120055,Taxco de Alarcón
070000120056,Tecoanapa
070000120057,Técpan de Galeana
070000120058,Teloloapan
070000120059,Tepecoacuilco de Trujano
070000120060,Tetipac
070000120061,Tixtla de Guerrero
070000120062,Tlacoachistlahuaca
070000120063,Tlacoapa
070000120064,Tlalchapa
070000120065,Tlalixtaquilla de Maldonado
070000120066,Tlapa de Comonfort
070000120067,Tlapehuala
070000120068,La Unión de Isidoro Montes de Oca
070000120069,Xalpatláhuac
070000120070,Xochihuehuetlán
070000120071,Xochistlahuaca
070000120072,Zapotitlán Tablas
070000120073,Zirándaro
070000120074,Zitlala
070000120075,Eduardo Neri
070000120076,Acatepec
070000120077,Marquelia
070000120078,Cochoapa el grande
070000120079,José Joaquín de Herrera
070000120080,Juchitán
070000120081,Iliatenco
070000120996,No especificado
070000120997,Otros estados
070000120998,Otros municipios
070000120999,Resto de municipios
07000013,Hidalgo
070000130001,Acatlán
070000130002,Acaxochitlán
070000130003,Actopan
070000130004,Agua Blanca de Iturbide
070000130005,Ajacuba
070000130006,Alfajayucan
070000130007,Almoloya
070000130008,Apan
070000130009,El Arenal
070000130010,Atitalaquia
070000130011,Atlapexco
070000130012,Atotonilco el Grande
070000130013,Atotonilco de Tula
070000130014,Calnali
070000130015,Cardonal
070000130016,Cuautepec de Hinojosa
070000130017,Chapantongo
070000130018,Chapulhuacán
070000130019,Chilcuautla
070000130020,Eloxochitlán
070000130021,Emiliano Zapata
070000130022,Epazoyucan
070000130023,Francisco I. Madero
070000130024,Huasca de Ocampo
070000130025,Huautla
070000130026,Huazalingo
070000130027,Huehuetla
070000130028,Huejutla de Reyes
070000130029,Huichapan
070000130030,Ixmiquilpan
070000130031,Jacala de Ledezma
070000130032,Jaltocán
070000130033,Juárez Hidalgo
070000130034,Lolotla
070000130035,Metepec
070000130036,San Agustín Metzquititlán
070000130037,Metztitlán
070000130038,Mineral del Chico
070000130039,Mineral del Monte
070000130040,La Misión
070000130041,Mixquiahuala de Juárez
070000130042,Molango de Escamilla
070000130043,Nicolás Flores
070000130044,Nopala de Villagrán
070000130045,Omitlán de Juárez
070000130046,San Felipe Orizatlán
070000130047,Pacula
070000130048,Pachuca de Soto
070000130049,Pisaflores
070000130050,Progreso de Obregón
070000130051,Mineral de la Reforma
070000130052,San Agustín Tlaxiaca
070000130053,San Bartolo Tutotepec
070000130054,San Salvador
070000130055,Santiago de Anaya
070000130056,Santiago Tulantepec de Lugo Guerrero
070000130057,Singuilucan
070000130058,Tasquillo
070000130059,Tecozautla
070000130060,Tenango de Doria
070000130061,Tepeapulco
070000130062,Tepehuacán de Guerrero
070000130063,Tepeji del Río de Ocampo
070000130064,Tepetitlán
070000130065,Tetepango
070000130066,Villa de Tezontepec
070000130067,Tezontepec de Aldama
070000130068,Tianguistengo
070000130069,Tizayuca
070000130070,Tlahuelilpan
070000130071,Tlahuiltepa
070000130072,Tlanalapa
070000130073,Tlanchinol
070000130074,Tlaxcoapan
070000130075,Tolcayuca
070000130076,Tula de Allende
070000130077,Tulancingo de Bravo
070000130078,Xochiatipan
070000130079,Xochicoatlán
070000130080,Yahualica
070000130081,Zacualtipán de Ángeles
070000130082,Zapotlán de Juárez
070000130083,Zempoala
070000130084,Zimapán
070000130901,"901-Municipios metropolitanos Pachuca de Soto, Mineral de la Reforma, Mineral del Chico, El Arenal, San Agustín Tlaxiaca, Real del Monte, Epazoyucan, Zempoala, Singuilucan, Tepeapulco, Zapotlán de Juárez y Acayuca"
070000130996,No especificado
070000130997,Otros estados
07000014,Jalisco
070000140001,Acatic
070000140002,Acatlán de Juárez
070000140003,Ahualulco de Mercado
070000140004,Amacueca
070000140005,Amatitán
070000140006,Ameca
070000140007,San Juanito de Escobedo
070000140008,Arandas
070000140009,EL Arenal
070000140010,Atemajac de Brizuela
070000140011,Atengo
070000140012,Atenguillo
070000140013,Atotonilco el Alto
070000140014,Atoyac
070000140015,Autlán de Navarro
070000140016,Ayotlán
070000140017,Ayutla
070000140018,La Barca
070000140019,Bolaños
070000140020,Cabo Corrientes
070000140021,Casimiro Castillo
070000140022,Cihuatlán
070000140023,Zapotlán el Grande
070000140024,Cocula
070000140025,Colotlán
070000140026,Concepción de Buenos Aires
070000140027,Cuautitlán de García Barragán
070000140028,Cuautla
070000140029,Cuquío
070000140030,Chapala
070000140031,Chimaltitán
070000140032,Chiquilistlán
070000140033,Degollado
070000140034,Ejutla
070000140035,Encarnación de Díaz
070000140036,Etzatlán
070000140037,El Grullo
070000140038,Guachinango
070000140039,Guadalajara
070000140040,Hostotipaquillo
070000140041,Huejúcar
070000140042,Huejuquilla el Alto
070000140043,La Huerta
070000140044,Ixtlahuacán de los Membrillos
070000140045,Ixtlahuacán del Río
070000140046,Jalostotitlán
070000140047,Jamay
070000140048,Jesús María
070000140049,Jilotlán de los Dolores
070000140050,Jocotepec
070000140051,Juanacatlán
070000140052,Juchitlán
070000140053,Lagos de Moreno
070000140054,El Limón
070000140055,Magdalena
070000140056,Santa María del Oro
070000140057,La Manzanilla de la Paz
070000140058,Mascota
070000140059,Mazamitla
070000140060,Mexticacán
070000140061,Mezquitic
070000140062,Mixtlán
070000140063,Ocotlán
070000140064,Ojuelos de Jalisco
070000140065,Pihuamo
070000140066,Poncitlán
070000140067,Puerto Vallarta
070000140068,Villa Purificación
070000140069,Quitupan
070000140070,El Salto
070000140071,San Cristóbal de la Barranca
070000140072,San Diego de Alejandría
070000140073,San Juan de los Lagos
070000140074,San Julián
070000140075,San Marcos
070000140076,San Martín de Bolaños
070000140077,San Martín Hidalgo
070000140078,San Miguel el Alto
070000140079,Gómez Farías
070000140080,San Sebastián del Oeste
070000140081,Santa María de los Ángeles
070000140082,Sayula
070000140083,Tala
070000140084,Talpa de Allende
070000140085,Tamazula de Gordiano
070000140086,Tapalpa
070000140087,Tecalitlán
070000140088,Tecolotlán
070000140089,Techaluta de Montenegro
070000140090,Tenamaxtlán
070000140091,Teocaltiche
070000140092,Teocuitatlán de Corona
070000140093,Tepatitlán de Morelos
070000140094,Tequila
070000140095,Teuchitlán
070000140096,Tizapán el Alto
070000140097,Tlajomulco de Zúñiga
070000140098,San Pedro Tlaquepaque
070000140099,Tolimán
070000140100,Tomatlán
070000140101,Tonalá
070000140102,Tonaya
070000140103,Tonila
070000140104,Totatiche
070000140105,Tototlán
070000140106,Tuxcacuesco
070000140107,Tuxcueca
070000140108,Tuxpan
070000140109,Unión de San Antonio
070000140110,Unión de Tula
070000140111,Valle de Guadalupe
070000140112,Valle de Juárez
070000140113,San Gabriel
070000140114,Villa Corona
070000140115,Villa Guerrero
070000140116,Villa Hidalgo
070000140117,Cañadas de Obregón
070000140118,Yahualica de González Gallo
070000140119,Zacoalco de Torres
070000140120,Zapopan
070000140121,Zapotiltic
070000140122,Zapotitlán de Vadillo
070000140123,Zapotlán del Rey
070000140124,Zapotlanejo
070000140125,San Ignacio Cerro Gordo
070000140901,"901-Municipios metropolitanos Guadalajara, Tonalá, Tlaquepaque y Zapopan"
070000140996,No especificado
070000140997,Otros estados
070000140998,Otros municipios
070000140999,Resto de municipios
07000015,México
070000150001,Acambay de Ruíz Castañeda
070000150002,Acolman
070000150003,Aculco
070000150004,Almoloya de Alquisiras
070000150005,Almoloya de Juárez
070000150006,Almoloya del Río
070000150007,Amanalco
070000150008,Amatepec
070000150009,Amecameca
070000150010,Apaxco
070000150011,Atenco
070000150012,Atizapán
070000150013,Atizapán de Zaragoza
070000150014,Atlacomulco
070000150015,Atlautla
070000150016,Axapusco
070000150017,Ayapango
070000150018,Calimaya
070000150019,Capulhuac
070000150020,Coacalco de Berriozábal
070000150021,Coatepec Harinas
070000150022,Cocotitlán
070000150023,Coyotepec
070000150024,Cuautitlán
070000150025,Chalco
070000150026,Chapa de Mota
070000150027,Chapultepec
070000150028,Chiautla
070000150029,Chicoloapan
070000150030,Chiconcuac
070000150031,Chimalhuacán
070000150032,Donato Guerra
070000150033,Ecatepec de Morelos
070000150034,Ecatzingo
070000150035,Huehuetoca
070000150036,Hueypoxtla
